City,Temperature (2080s),Precipitation (2080s),Sea Level Rise (2080s)
Aalborg,+1.6 to 5.4°C,1 to +22%
Dhaka,+2.3 to 5.9°C,-24 to +36%,+21 to 122 cm
Dublin,+1.4 to 4°C,-11 to +13%,+24 to 131 cm
Durban,+2 to 5.8°C,-11 to +8%,+20 to 118 cm
Enschede,+1.2 to 4.1°C,1 to +12%
Faisalabad,+1.4 to 3.6°C,-21 to +10%
Fort Lauderdale,+2 to 5.6°C,-15 to +41%,+21 to 123 cm
Geneva,+2.4 to 6.9°C,4 to +24%
Genoa,+1.5 to 4.1°C,-5 to +21%,+22 to 118 cm
Glasgow,+1.6 to 4.9°C,1 to +48%
Gold Coast,+1.6 to 5.3°C,-21 to +9%,+23 to 124 cm
Gorakhpur,+1.4 to 4°C,-13 to +21%
Gothenburg,+1.8 to 5.5°C,-4 to +16%,+24 to 140 cm
Gunnison,+1.9 to 5.4°C,-41 to -5%
Hayama,+2.1 to 5.7°C,-14 to +6%,+20 to 129 cm
Helsinki,+1.4 to 4.7°C,-8 to +44%,+26 to 148 cm
Hoboken,+1.8 to 5.2°C,-3 to +33%
Hong Kong,+2.3 to 6.8°C,-13 to +20%,+22 to 123 cm
Hyderabad,+1.4 to 4.8°C,-5 to +38%
Indore,+1.4 to 4°C,-35 to +23%
Istanbul,+1.5 to 4.4°C,-12 to +14%,+22 to 116 cm
Jakarta,+1.5 to 5.1°C,-5 to +14%,+21 to 122 cm
Jena,+1.7 to 4.7°C,-6 to +63%
Jerusalem,+1.4 to 4.5°C,-6 to +11%
Johannesburg,+1.7 to 4.9°C,-21 to +15%
Kampala,+1.3 to 3.6°C,-13 to +16%
Kassel,+1.3 to 4.5°C,-5 to +15%
Kathmandu,+1.4 to 3.6°C,-3 to +21%
Kedarnath,+1.6 to 4.3°C,-18 to +9%
Khulna,+1.4 to 3.7°C,1 to +32%,+21 to 122 cm
Kingston,+1.7 to 4.6°C,-6 to +16%,+20 to 119 cm
Kunshan,+1.8 to 5.1°C,-24 to +3%,+21 to 122 cm
La Ceiba,+1.5 to 3.9°C,-20 to +3%,+21 to 122 cm
Lagos,+1.8 to 5.1°C,-23 to +7%,+23 to 120 cm
Leipzig,+1.4 to 4°C,-11 to +11%
Leusden,+1.4 to 5.2°C,1 to +20%
Leuven,+2.6 to 7.1°C,1 to +25%
Lima,+2.3 to 6.1°C,-24 to +41%,+21 to 117 cm
Lismore,+1.5 to 3.8°C,-17 to +10%
London,+1.6 to 4.4°C,-2 to +64%,+24 to 139 cm
Los Angeles,+1.6 to 4.4°C,-7 to +66%,+21 to 118 cm
Makassar,+1.8 to 5.3°C,-25 to +2%,+22 to 122 cm
Manchester,+2 to 5.5°C,5 to +25%
Manila,+2.1 to 5.7°C,2 to +19%,+21 to 124 cm
Maputo,+2.2 to 5.6°C,2 to +19%,+22 to 120 cm
Masdar,+2 to 5.1°C,-2 to +16%,+23 to 124 cm
Matara,+1.4 to 4.1°C,-21 to +13%,+22 to 122 cm
Medellin,+1.6 to 5.2°C,-9 to +7%
"Mediterranean Spain
(Ebro Delta)",+2.4 to 6.1°C,-27 to +21%,+22 to 119 cm
Melbourne,+2.3 to 5.6°C,2 to +19%,+18 to 116 cm
Mexico City,+1.3 to 3.6°C,-38 to +6%
Miami,+1.6 to 4.4°C,-6 to +30%,+21 to 123 cm
Middelfart,+2.3 to 5.9°C,-24 to +20%,+25 to 140 cm
Montreal,+1.3 to 3.7°C,-21 to +16%
Moscow,+2 to 5.6°C,-22 to +2%
Multan,+1.4 to 4.6°C,-3 to +16%
Mumbai,+1.5 to 4.4°C,-11 to +22%,+23 to 122 cm
Nairobi,+1.1 to 3.7°C,-3 to +21%
Nanjing,+1.4 to 4.2°C,-44 to -3%
Naples,+1.4 to 4°C,-39 to +7%,+22 to 116 cm
New Brunswick,+1.6 to 4.3°C,-7 to +21%
"Newcastle upon
Tyne",+1.9 to 5.7°C,-1 to +12%
New Songdo City,+1.3 to 4°C,-17 to +18%,+20 to 124 cm
New York City,+1.9 to 5.5°C,4 to +25%,+23 to 139 cm
"Newark, DE",+1.8 to 4.9°C,-3 to +15%
Norfolk,+1.6 to 4.6°C,-7 to +18%,+23 to 129 cm
Nova Friburgo,+2.2 to 5.9°C,-11 to +28%
Ottawa,+1.4 to 3.9°C,-4 to +18%
Oujda,+1.4 to 4°C,-38 to -5%
Paris,+2.2 to 6.1°C,3 to +19%
Paveh,+2.2 to 6°C,-4 to +14%
Peshawar,+1.7 to 4.9°C,-4 to +100%
Philadelphia,+1.5 to 4.2°C,-13 to +13%
Phitsanulok,+1.4 to 3.5°C,-2 to +24%
Portmore,+1.4 to 4°C,-13 to +21%,+20 to 119 cm
Quito,+2.4 to 6°C,-19 to +14%
Rawalpindi,+1.7 to 4.8°C,-7 to +13%
Rio de Janeiro,+2.4 to 6.7°C,0 to +17%,+21 to 118 cm
Rome,+1.4 to 4°C,-28 to +17%
Rotterdam,+2 to 5.9°C,-22 to +10%,+25 to 140 cm
San Diego,+1.9 to 5.8°C,-12 to +9%,+21 to 118 cm
"San Francisco, CA",+1.8 to 5.8°C,-7 to +12%,+21 to 118 cm
San Jose,+2 to 6°C,-2 to +17%
Santa Fe,+2.2 to 5.4°C,2 to +20%
Santiago,+2.3 to 6.5°C,0 to +18%
Santo Domingo,+1.9 to 5.6°C,-2 to +15%,+20 to 117 cm
Sao Paulo,+2.1 to 6°C,-38 to +81%
Seattle,+2.2 to 5.6°C,2 to +19%,+21 to 118 cm
Semarang,+1.9 to 5.2°C,-5 to +73%,+21 to 122 cm
Seoul,+1.3 to 3.6°C,-38 to +5%
Shanghai,+1.4 to 4.6°C,-33 to +22%,+21 to 122 cm
Shenzhen,+1.8 to 5.9°C,7 to +24%,+22 to 123 cm
Shimla,+1.8 to 5.4°C,-4 to +16%
Singapore,+2.1 to 5.8°C,-19 to +8%,+21 to 122 cm
Sintra,+2.1 to 5.7°C,1 to +19%,+22 to 126 cm
"Somerville, MA",+1.7 to 4.8°C,-7 to +12%
"St. Peters, MO",+1.5 to 4.5°C,-13 to +21%
Surat,+1.5 to 5.2°C,-4 to +17%,+23 to 122 cm
Sydney,+1.8 to 5.5°C,-3 to +16%,+24 to 128 cm
Tacloban,+1.4 to 4.7°C,-22 to -3%,+21 to 125 cm
Tangerang Seltan,+1.9 to 5.6°C,-17 to +4%,+21 to 122 cm
Tehran,+1.4 to 4.7°C,-4 to +16%
Tempe,+1.3 to 4.3°C,-2 to +15%
Tokyo,+2.1 to 5.7°C,2 to +19%,+20 to 129 cm
Toronto,+1.9 to 5.7°C,-1 to +18%
Townsville,+2.1 to 6.2°C,-10 to +10%,+22 to 123 cm
Trondheim,+1.7 to 4.8°C,-4 to +13%,+25 to 141 cm
Tsukuba,+2.4 to 6.9°C,3 to +19%
Tucson,+2.1 to 5.7°C,-44 to -7%
Udon Thani,+2.4 to 6.3°C,-31 to +9%
Venice,+1.3 to 4.4°C,-6 to +11%,+22 to 117 cm
Victoria,+2 to 5.6°C,0 to +13%,+21 to 118 cm
Vienna,+1.6 to 4.8°C,-9 to +21%
Warsaw,+1.5 to 4.6°C,-4 to +24%
"Washington, D.C.",+1.7 to 4.9°C,5 to +19%
Waterloo,+2.4 to 6.9°C,4 to +19%
White Plains,+1.2 to 4.1°C,1 to +20%
Windsor,+1.7 to 4.3°C,-25 to +15%,,
